15	11	E	-9522163.910623983	127
emissionprobs	8	6	H3K79me2	0	0.9901470509328175
emissionprobs	8	6	H3K79me2	1	0.009852949067182431
emissionprobs	8	7	H3K9ac	0	0.989383202562746
emissionprobs	8	7	H3K9ac	1	0.010616797437253914
emissionprobs	8	8	H3K9me	0	1.0
emissionprobs	8	8	H3K9me	1	0.0
emissionprobs	8	9	H3K9me3	0	1.0
emissionprobs	8	9	H3K9me3	1	0.0
emissionprobs	8	10	H4K20me1	0	0.9952283182641647
emissionprobs	8	10	H4K20me1	1	0.004771681735835291
emissionprobs	9	0	H3K27ac	0	0.937256006320251
emissionprobs	9	0	H3K27ac	1	0.06274399367974906
emissionprobs	9	1	H3K27me3	0	0.9999171698769258
emissionprobs	9	1	H3K27me3	1	8.283012307420922E-5
emissionprobs	9	2	H3K36me3	0	0.7567305059573805
emissionprobs	9	2	H3K36me3	1	0.24326949404261947
emissionprobs	9	3	H3K4me1	0	0.19943810384934388
emissionprobs	9	3	H3K4me1	1	0.8005618961506561
emissionprobs	9	4	H3K4me2	0	0.7580524825171796
emissionprobs	9	4	H3K4me2	1	0.24194751748282045
emissionprobs	9	5	H3K4me3	0	0.9807515922138793
emissionprobs	9	5	H3K4me3	1	0.01924840778612082
emissionprobs	9	6	H3K79me2	0	0.09687242991129276
emissionprobs	9	6	H3K79me2	1	0.9031275700887071
emissionprobs	9	7	H3K9ac	0	0.9320451382728631
emissionprobs	9	7	H3K9ac	1	0.0679548617271369
emissionprobs	9	8	H3K9me	0	1.0
emissionprobs	9	8	H3K9me	1	0.0
emissionprobs	9	9	H3K9me3	0	1.0
emissionprobs	9	9	H3K9me3	1	0.0
emissionprobs	9	10	H4K20me1	0	0.7699772926246641
emissionprobs	9	10	H4K20me1	1	0.23002270737533578
emissionprobs	10	0	H3K27ac	0	0.999467827173501
emissionprobs	10	0	H3K27ac	1	5.321728264989601E-4
emissionprobs	10	1	H3K27me3	0	0.9999340353123175
emissionprobs	10	1	H3K27me3	1	6.596468768248125E-5
emissionprobs	10	2	H3K36me3	0	0.9512510758421878
emissionprobs	10	2	H3K36me3	1	0.04874892415781222
emissionprobs	10	3	H3K4me1	0	0.9580225816793686
emissionprobs	10	3	H3K4me1	1	0.04197741832063138
emissionprobs	10	4	H3K4me2	0	0.9995027534615735
emissionprobs	10	4	H3K4me2	1	4.972465384264234E-4
emissionprobs	10	5	H3K4me3	0	0.9999725939881374
